titlemenu_play,Jouer,
titlemenu_quit,Quitter,
titlemenu_settings,Options,
titlemenu_tutorial,Tutoriel,
gameversion,NNF Version {a},
shopdirection1,(Cliquer sur un item pour le drag et drop dans votre inventaire),
shopdirection2,(Appuyer sur [{a}] sur vos items dans votre inventaire vendre),
item_name0,Pantalons,
item_name1,Nouille,
item_name2,Cactus,
item_name3,Lance-Flamme,
item_name4,Pince de Homard,
item_name5,Monstruosité,
item_name6,Soso Le Serpent,
item_name7,Fraise,
item_name8,Nez,
item_name9,Paille Folle,
item_name10,Oie Diabolique,
item_name11,Crâne en feu,
item_name12,Comcombre de mer,
item_name13,Tart Lard,
item_name14,Pedro,
item_name15,Amanite Tue-mouche,
item_name16,Poupée de Doigts,
item_name17,Osselets,
item_name18,Croissant,
item_name19,Donut,
item_name20,Poulet en caoutchouc,
item_name21,1 Tonne de Plumes,
item_name22,Dino Dansant,
item_name23,Squirmy,
item_name24,Générateur,
item_name25,Test Item 1,
item_name26,Test Item 2,
item_name27,Test Item 3,
item_name28,Flutty,
item_name29,Yéti,
item_name30,Kazoo,
item_name31,Poulpe,
item_name32,Lunettes 3D,
item_name33,Barre d'Uranium,
item_name34,Le Pointeur,
item_name35,L'Attrapeur,
item_name36,Le Chien Chaud-Chaud,
trig_firstpop,Premier peg éclaté ->,
trig_pegpop,Peg éclaté ->,
trig_pegfullpop,Peg complètement éclaté ->,
trig_halfsec,Toutes les demi secondes ->,
trig_onesec,Toutes les 1 secondes ->,
trig_oneandhalfsec,Toutes les 1.5 secondes ->,
trig_twosec,Toutes les 2 secondes ->,
trig_twoandhalfsec,Toutes les 2.5 secondes ->,
trig_threesec,Toutes les 3 secondes ->,
trig_threeandhalfsec,Toutes les 3.5 secondes ->,
trig_foursec,Toutes les 4 secondes ->,
trig_fivesec,Toutes les 5 secondes ->,
trig_gainlife,Obtient de la vie ->,
trig_nubbylaunch,Nubby lancé ->,
trig_nubbydies,Nubby meurt ->,
trig_purchaseitem,Achète l'item ->,
