titlemenu_play,Jugar,
titlemenu_quit,Abandonar,                
titlemenu_settings,Ajustes,                 
titlemenu_tutorial,Tutorial,                          
gameversion,NNF Version {a},"		"
shopdirection1,(Haz Click en un item para arrastrarlo y soltarlo en tu inventario.,"	"
shopdirection2,Presione [{a}] en items en tu inventario para venderlos.,"		"
item_name0,Pantalones,"		"
item_name1,Fideo,"		"
item_name2,Cactus,"		"
item_name3,Lanzallamas,"		"
item_name4,Garra de Langonsta,"		"
item_name5,Monstrosidad,"		"
item_name6,Jake la Serpiente,"		"
item_name7,Fresa,"		"
item_name8,Nariz,"		"
item_name9,Pajita Loca,"		"
item_name10,Ganso Malvado,"		"
item_name11,Calavera en Llamas,"		"
item_name12,Pepino de Mar,"		"
item_name13,Tart Lard,"		"
item_name14,Pedro,"		"
item_name15,Fly Agaric,"		"
item_name16,Marioneta de Dedo,"		"
item_name17,Jacks,"		"
item_name18,Croissant,"		"
item_name19,Dona,"		"
item_name20,Gallina de Goma,"		"
item_name21,1 Ton. de Plumas,"		"
item_name22,Dino Bailador,"		"
item_name23,Squirmy,"	"
item_name24,Generador,"		"
item_name25,Item de Prueba 1,"		"
item_name26,Item de Prueba 2,"		"
item_name27,Item de Prueba 3,"		"
item_name28,Flutty,"		"
item_name29,Yeti,"		"
item_name30,Kazoo,"		"
item_name31,Calamar,"		"
item_name32,Lentes-3D,"		"
item_name33,Barra de Uranio,"		"
item_name34,El Puntero,"		"
item_name35,El Agarrador,"		"
item_name36,Perro Caliente,"		"
trig_firstpop,Primera bola estallada ->,"		"
trig_pegpop,Bola estallada ->,"		"
trig_pegfullpop,Bola completamente estallada ->,"		"
trig_halfsec,Cada medio Segundo ->,"		"
trig_onesec,Cada 1 Segundo ->,"		"
trig_oneandhalfsec,Cada 1.5 Segundos ->,"		"
trig_twosec,Cada 2 Segundos ->,"		"
trig_twoandhalfsec,Cada 2.5 Segundos ->,"		"
trig_threesec,Cada 3 Segundos ->,"		"
trig_threeandhalfsec,Cada 3.5 Segundos ->,"		"
trig_foursec,Cada 4 Segundos ->,"		"
trig_fivesec,Cada 5 Segundos ->,"		"
trig_gainlife,Ganar Vida ->,"		"
trig_nubbylaunch,Nubby lanzado ->,"		"
trig_nubbydies,Nubby muere ->,"		"
trig_purchaseitem,Comprar item ->,"		"
trig_hitwall,Nubby toca la pared ->,"	"
trig_anysummoned,Invocar cualquier cosa ->,"		"
trig_fivesummoned,Invocar 5 cosas ->,"		"
trig_rankup,Subir de Rango ->,"		"
trig_sellitem,Vender item ->,"		"
trig_sellme,Vender este item ->,"		"
trig_passgoal,Pasar meta ->,"		"
trig_boardclear,Tablero Despejado ->,"		"
trig_twopegspopped,2 bolas estalladas ->,"		"
trig_fivepegspopped,5 bolas estalladas ->,"		"
trig_tenpegspopped,10 bolas estalladas ->,"		"
trig_fifteenpegspopped,15 bolas estalladas ->,"		"
trig_thirtypegspopped,30 bolas estalladas ->,"		"
trig_enableitem,Cualquier item reactivado ->,"		"
trig_itemactivate,Cualquier item se activa ->,"		"
trig_itemfireleft,Item a mi izquierda se activa ->,"	"
trig_itemfireright,Item a mi derecha se activa ->,"		"
trig_itemfireslotone,Item en espacio #1 se activa ->,"		"
trig_itemfireslottwo,Item en espacio #2 se activa ->,"		"
trig_itemfireslotthree,Item en espacio #3 se activa ->,"		"
trig_itemfireslotfour,Item en espacio #4 se activa ->,"		"
trig_itemfireslotfive,Item en espacio #5 se activa ->,"		"
trig_itemfireslotsix,Item en espacio #6 se activa ->,"		"
trig_itemfireslotseven,Item en espacio #7 se activa ->,"		"
null,Error: null,"		"
item_desc0,{a}*Cada espacio vacio dara puntos iguales a el numero total de espacios vacios.,"		"
item_desc1,{a}*Dobla una bola aleatoria o reduce una bola aleatoria en 2x.,"		"
item_desc2,{a}*{b} pincho caera de el cielo y explotara {c} bolas.,"		"
item_desc3,{a}*Una bola aleatoria explotara y estallara {b} {maximum} bolas cercanas.,"		"
item_desc4,{a}*Cada item en tu inventario dara puntos igual a una bola aleatoria.,"		"
item_desc5,{a}*invoca a una {b}Bola de Carne{b} que flotara y estallara bolas.{a}Bolas de Carne muere cuando Nubby muere.,"		"
item_desc6,{a}*{b} en {c} chance de temporalmente doblar en numero en todas las bolas.,"		"
item_desc7,Error: null,"		"
item_desc8,{a}*Una bola aleatoria emitira {b}Disparos de Mocos{b} que estallara cualquier bola que pasan.,"		"
item_desc9,{a}*Estalla {b} bolas aleatorias,"	"
item_desc10,{a}*Error: null,"		"
item_desc11,"{a}*Si tienes {b} o menos vidas, tiene una {c} en {d} chance de estallar todas las bolas, una vez.","		"
item_desc12,"{a}*Si Nubby sigue vivo, teletransporta a Nubby arriba de el tablero.","		"
item_desc13,"{a}*Estalla una bola aleatoria, cuando se estalla, dara puntos dos veces.","		"
item_desc14,{a}*Estalla {b} bola aleatoria.,"		"
item_desc15,{a}*{b} en {c} chance de multiplicar los puntos totales por {d}x.,"		"
item_desc16,{a}*Error: null,"	"
item_desc17,{a}*Activa un pincho que estalla una bola aleatoria {b} veces.,"		"
item_desc18,{a}*Error: null,"		"
item_desc19,{a}*Cada espacio vacio dara puntos igual a el numero de bolas estalladas esta ronda.,"		"
item_desc20,"{a}*Si Nubby sigue vivo, aparece un huevo que cae de el cielo y explota una fila de bolas.","		"
item_desc21,"{a}*Explota la bola de el menor #, {b} veces.","		"
item_desc22,{a}*Error: null,"	"
item_desc23,{a}*Da +5 puntos por cada vez que se activa este item en la ronda.{a}*{c} en {d} chance de metamorfosearse...,"		"
item_desc24,{a}*Crea una cadena de electricidad que electrocuta un grupo de bolas.,"		"
item_desc25,{a}*Test{b},"		"
item_desc26,{a}*Test{b},"		"
item_desc27,{a}*Test{b},"		"
item_desc28,{a}*Da +{b} puntos por cada vez que este item se activa en la ronda.,"		"
item_desc29,{a}*Cada bola da puntos igual a {b}% de su numero actual.,"		"
item_desc30,{a}*Dobla el numero de una bola aleatoria.,"		"
item_desc31,{a}*Muta en el elemento a mi izquierda por el resto de la ronda.,"		"
item_desc32,{a}*Una bola aleatoria emite un pulso que temporalmente dobla el numero en bolas en rango cercano.,"		"
item_desc33,"{a}*Nubby emite una explosion de residuo nuclear.{a}*Residuo nuclear estalla todas las bolas que toca.{a}*Si Nubby no esta vivo, una bola aleatoria emitira la explosion.","		"
item_desc34,{a}*Error: null,"	"
item_desc35,{a}*Error: null,"	"
item_desc36,{a}*Este item se vender   por el triple del valor de venta del item en la ranura ,"	"
btn_reroll,Reponer,"	"
btn_goback,Volver,"	"
btn_cancel,Cancelar,"	"
btn_done,Hecho,"	"
btn_deletesave,(!) Borrar Partida Guardada (!),"	"
btn_deletesavedirection,Mantiene apretado. No puedes desacer esto.,"	"
btn_sell,Vender,"	"
pausebtn_btg,Volver al Juego,"	"
